trunc_time,open_price,high_price,low_price,close_price,volume
2020-10-06,918.11,918.93,912.77,915.67,472545310
2020-10-07,913.62,923.57,912.69,919.72,496266530
2020-10-08,922.08,922.08,913.89,918.84,446311540
2020-10-09,919.48,924.0,917.7,924.0,343796560
2020-10-12,930.78,933.13,923.28,925.83,414162820
2020-10-13,926.76,930.96,923.78,929.86,322972210
2020-10-14,931.89,940.18,931.89,940.18,386750560
2020-10-15,945.28,945.93,938.7,942.76,439631740
2020-10-16,944.03,946.23,935.98,943.3,395580380
2020-10-19,945.01,946.29,941.92,943.69,353154450
2020-10-20,941.0,944.54,937.32,944.42,385659020
2020-10-21,947.16,948.2,939.0,939.03,372347380
2020-10-22,938.06,949.9,933.78,949.9,316297780
2020-10-23,953.45,961.26,953.14,961.26,392430900
2020-10-26,967.52,970.15,950.8,950.8,404773940
2020-10-27,952.61,954.72,946.28,946.47,414913610
2020-10-28,942.82,946.91,921.05,921.05,433068340
2020-10-29,916.49,925.84,914.33,919.08,355910070
2020-10-30,925.41,926.32,911.2,925.47,297619160
2020-11-02,926.09,933.68,924.14,933.68,273082480
2020-11-03,936.73,937.57,932.18,935.41,302847830
2020-11-04,937.62,943.56,933.86,939.76,327410490
2020-11-05,940.32,945.51,937.75,937.75,270446750
2020-11-06,939.73,941.2,934.63,938.29,249258850
2020-11-09,942.15,951.99,942.15,951.99,369592050
2020-11-10,962.68,963.47,951.9,951.9,422041040
2020-11-11,954.46,956.65,947.61,952.22,353735780
2020-11-12,953.97,959.28,953.62,959.28,320081130
2020-11-13,959.56,966.29,959.13,966.29,419678370
2020-11-16,970.11,972.98,950.5,950.79,484179810
2020-11-17,955.52,968.9,953.22,968.9,371415910
2020-11-18,969.48,974.3,966.32,973.53,446206150
2020-11-19,975.32,983.26,974.33,983.26,473474550
2020-11-20,984.71,990.0,980.72,990.0,471526920
2020-11-23,991.87,995.9,985.38,994.19,450110750
2020-11-24,996.55,997.99,984.92,995.76,511566140
2020-11-25,1000.39,1002.31,996.8,999.94,445346780
2020-11-26,999.24,1005.97,994.91,1005.97,411338400
2020-11-27,1006.68,1010.22,1004.0,1010.22,381723340
2020-11-30,1011.82,1012.5,1002.61,1003.08,450045450
2020-12-01,988.71,1008.87,988.71,1008.87,536207660
2020-12-02,1008.77,1015.86,1007.91,1014.32,484658120
2020-12-03,1016.73,1020.35,1014.06,1019.8,496771120
2020-12-04,1020.49,1025.17,1018.67,1021.49,527019060
2020-12-07,1024.34,1030.41,1022.14,1029.98,473554480
2020-12-08,1030.88,1032.58,1025.63,1029.26,501250780
2020-12-09,1031.19,1039.55,1030.24,1039.13,554755640
2020-12-10,1041.65,1044.1,1030.91,1030.91,566339280
2020-12-11,1033.19,1045.96,1030.06,1045.96,413852370
2020-12-14,1048.97,1064.09,1048.97,1064.09,506310660
2020-12-15,1062.02,1067.45,1052.01,1055.27,621133560
2020-12-16,1058.34,1066.99,1057.21,1066.99,556546890
2020-12-17,1065.85,1065.85,1051.42,1051.77,634682600
2020-12-18,1055.75,1068.56,1055.75,1067.46,560068250
2020-12-21,1071.62,1081.6,1070.86,1081.08,660479750
2020-12-22,1081.85,1084.23,1077.06,1083.45,695860800
2020-12-23,1087.89,1094.09,1077.92,1078.9,742856110
2020-12-24,1083.83,1084.76,1046.89,1067.52,686557640
2020-12-25,1068.83,1084.42,1061.83,1084.42,592212900
2020-12-28,1094.37,1096.11,1083.9,1091.33,663869090
2020-12-29,1090.49,1102.79,1087.93,1099.49,618010510
2020-12-30,1099.78,1108.83,1094.91,1097.54,619802880
2020-12-31,1098.25,1105.33,1096.27,1103.87,500978800
2021-01-04,1113.77,1126.43,1113.59,1120.47,709701600
2021-01-05,1116.96,1134.45,1116.49,1132.55,710226500
2021-01-06,1139.12,1152.85,1133.7,1143.21,725414800
2021-01-07,1147.26,1156.49,1143.44,1156.49,719527100
2021-01-08,1164.1,1176.33,1160.48,1167.69,763095900
2021-01-11,1176.47,1186.45,1175.0,1184.89,776321700
2021-01-12,1190.38,1192.28,1179.24,1192.28,683329700
2021-01-13,1197.32,1200.82,1183.18,1186.05,747161400
2021-01-14,1189.48,1190.5,1178.84,1187.4,737417900
2021-01-15,1188.84,1197.74,1188.84,1194.2,746215900
2021-01-18,1198.79,1200.85,1190.33,1191.94,711741000
2021-01-19,1189.91,1189.91,1117.17,1131.0,923105700
2021-01-20,1136.5,1142.48,1098.05,1134.68,802789200
2021-01-21,1146.86,1164.21,1132.66,1164.21,666008100
2021-01-22,1166.77,1175.72,1161.43,1166.78,716238000
2021-01-25,1164.2,1172.18,1162.8,1166.05,665737500
2021-01-26,1164.97,1164.97,1121.03,1136.12,743159100
2021-01-27,1122.41,1132.99,1088.86,1097.17,745071300
2021-01-28,1041.71,1052.16,1022.77,1023.94,698605600
2021-01-29,998.33,1076.11,998.33,1056.61,743995900
2021-02-01,1062.13,1074.52,1035.51,1035.51,588446500
2021-02-02,1036.95,1075.53,1029.36,1075.53,554905500
2021-02-03,1084.87,1113.24,1082.95,1111.29,635966100
2021-02-04,1112.97,1117.88,1098.85,1112.19,471356200
2021-02-05,1114.79,1126.91,1112.19,1126.91,458710000
2021-02-08,1127.06,1127.06,1075.1,1083.18,635387600
2021-02-09,1090.88,1114.93,1078.98,1114.93,490182000
2021-02-17,1127.46,1155.78,1127.46,1155.78,510971700
2021-02-18,1157.1,1174.38,1148.66,1174.38,585040700
2021-02-19,1160.65,1178.18,1157.6,1173.5,547575400
2021-02-22,1173.57,1182.67,1169.12,1175.04,571176900
2021-02-23,1174.57,1184.32,1168.32,1177.64,571704900
2021-02-24,1184.32,1185.58,1154.36,1162.01,572631700
