trunc_time,open_price,high_price,low_price,close_price,volume
2016-01-04,5060.0,5094.0,5008.0,5008.0,404530
2016-01-05,4990.0,5024.0,4955.0,4955.0,628760
2016-01-06,4955.0,5041.0,4955.0,5041.0,658730
2016-01-07,3763.1724359944956,3776.330381574896,3697.382708092494,3710.540653672894,1030130
2016-01-08,3644.7509257708925,3697.382708092494,3618.435034610092,3644.7509257708925,864290
2016-01-11,3671.066816931693,3671.066816931693,3631.592980190492,3644.7509257708925,488320
2016-01-12,3631.592980190492,3697.382708092494,3631.592980190492,3684.2247625120935,343540
2016-01-13,3697.382708092494,3697.382708092494,3618.435034610092,3618.435034610092,685150
2016-01-14,3605.2770890296915,3605.2770890296915,3473.6976332256886,3486.855578806089,1479820
2016-01-15,3486.855578806089,3500.0135243864893,3328.960231841285,3355.2761230020856,2199370
2016-01-18,3171.064884876481,3276.3284495196835,3144.74899371568,3263.170503939283,2898070
2016-01-19,3276.3284495196835,3355.2761230020856,3263.170503939283,3315.8022862608846,2466700
2016-01-20,3302.644340680484,3355.2761230020856,3250.012558358883,3315.8022862608846,1989300
2016-01-21,3263.170503939283,3355.2761230020856,3263.170503939283,3355.2761230020856,2017340
2016-01-22,3368.434068582486,3407.907905323687,3328.960231841285,3368.434068582486,2755250
2016-01-25,3421.0658509040873,3592.119143449291,3421.0658509040873,3578.961197868891,1238860
2016-01-26,3486.855578806089,3565.8032522884905,3460.5396876452883,3473.6976332256886,1299900
2016-01-27,3513.1714699668896,3552.64530670809,3500.0135243864893,3526.3294155472895,1218350
2016-01-28,3539.48736112769,3578.961197868891,3486.855578806089,3486.855578806089,778140
2016-01-29,3513.1714699668896,3618.435034610092,3486.855578806089,3618.435034610092,860030
2016-02-01,3618.435034610092,3684.2247625120935,3513.1714699668896,3513.1714699668896,855840
2016-02-02,3486.855578806089,3539.48736112769,3473.6976332256886,3526.3294155472895,289590
2016-02-03,3473.6976332256886,3539.48736112769,3460.5396876452883,3526.3294155472895,1232420
2016-02-04,3539.48736112769,3565.8032522884905,3539.48736112769,3552.64530670809,177320
2016-02-05,3552.64530670809,3578.961197868891,3526.3294155472895,3552.64530670809,155980
2016-02-15,3552.64530670809,3552.64530670809,3421.0658509040873,3473.6976332256886,1033620
2016-02-16,3473.6976332256886,3526.3294155472895,3473.6976332256886,3513.1714699668896,489920
2016-02-17,3486.855578806089,3526.3294155472895,3486.855578806089,3513.1714699668896,605330
2016-02-18,3526.3294155472895,3565.8032522884905,3526.3294155472895,3526.3294155472895,502930
2016-02-19,3526.3294155472895,3565.8032522884905,3526.3294155472895,3552.64530670809,704540
2016-02-22,3539.48736112769,3644.7509257708925,3539.48736112769,3578.961197868891,1091060
2016-02-23,3671.066816931693,3671.066816931693,3578.961197868891,3578.961197868891,807300
2016-02-24,3578.961197868891,3592.119143449291,3526.3294155472895,3578.961197868891,669660
2016-02-25,3592.119143449291,3671.066816931693,3578.961197868891,3592.119143449291,941770
2016-02-26,3605.2770890296915,3736.856544833695,3592.119143449291,3736.856544833695,1862030
2016-02-29,3789.4883271552962,3789.4883271552962,3671.066816931693,3671.066816931693,941320
2016-03-01,3671.066816931693,3671.066816931693,3592.119143449291,3605.2770890296915,964040
2016-03-02,3618.435034610092,3631.592980190492,3526.3294155472895,3578.961197868891,1616220
2016-03-03,3605.2770890296915,3618.435034610092,3552.64530670809,3552.64530670809,737360
2016-03-04,3565.8032522884905,3644.7509257708925,3539.48736112769,3618.435034610092,758830
2016-03-07,3631.592980190492,3697.382708092494,3618.435034610092,3657.908871351293,2201530
2016-03-08,3710.540653672894,3855.278055057298,3710.540653672894,3802.6462727356966,6767430
2016-03-09,3815.804218316097,3881.5939462180986,3750.0144904140952,3750.0144904140952,2672170
2016-03-10,3763.1724359944956,3776.330381574896,3736.856544833695,3763.1724359944956,1245540
2016-03-11,3776.330381574896,3828.9621638964973,3750.0144904140952,3789.4883271552962,2144310
2016-03-14,3815.804218316097,3973.699565280901,3815.804218316097,3947.3836741201003,3870560
2016-03-15,3973.699565280901,4013.173402022102,3907.9098373788993,3947.3836741201003,2696450
2016-03-16,3973.699565280901,3973.699565280901,3921.0677829592996,3934.2257285397,1634300
2016-03-17,3973.699565280901,4000.0154564417016,3934.2257285397,3947.3836741201003,2100490
2016-03-18,3960.5416197005006,3960.5416197005006,3907.9098373788993,3907.9098373788993,2584200
2016-03-21,3934.2257285397,3986.8575108613013,3921.0677829592996,3921.0677829592996,1512420
2016-03-22,3934.2257285397,3934.2257285397,3881.5939462180986,3881.5939462180986,1602960
2016-03-23,3855.278055057298,3907.9098373788993,3828.9621638964973,3855.278055057298,1576220
2016-03-24,3842.1201094768976,3894.751891798499,3789.4883271552962,3789.4883271552962,1758820
2016-03-25,3789.4883271552962,3842.1201094768976,3776.330381574896,3815.804218316097,1704310
2016-03-28,3828.9621638964973,3934.2257285397,3828.9621638964973,3934.2257285397,1174990
2016-03-29,3947.3836741201003,4000.0154564417016,3921.0677829592996,3921.0677829592996,2044410
2016-03-30,3907.9098373788993,3934.2257285397,3881.5939462180986,3881.5939462180986,1579390
2016-03-31,3881.5939462180986,3973.699565280901,3868.4360006376983,3881.5939462180986,2460570
