Date,Close,Predictions,Stock,Model,Method
2016-01-07,10100,,HAG,DIY,Opt
2016-01-08,10200,,HAG,DIY,Opt
2016-01-11,10900,,HAG,DIY,Opt
2016-01-12,11300,,HAG,DIY,Opt
2016-01-13,10900,,HAG,DIY,Opt
2016-01-14,10300,,HAG,DIY,Opt
2016-01-15,9900,,HAG,DIY,Opt
2016-01-18,9300,,HAG,DIY,Opt
2016-01-19,9600,,HAG,DIY,Opt
2016-01-20,9000,,HAG,DIY,Opt
2016-01-21,8400,,HAG,DIY,Opt
2016-01-22,7900,,HAG,DIY,Opt
2016-01-25,8400,,HAG,DIY,Opt
2016-01-26,8900,,HAG,DIY,Opt
2016-01-27,8800,,HAG,DIY,Opt
2016-01-28,8300,,HAG,DIY,Opt
2016-01-29,8200,,HAG,DIY,Opt
2016-02-01,8200,,HAG,DIY,Opt
2016-02-02,8000,,HAG,DIY,Opt
2016-02-03,7600,,HAG,DIY,Opt
2016-02-04,7700,,HAG,DIY,Opt
2016-02-05,7800,,HAG,DIY,Opt
2016-02-15,7800,,HAG,DIY,Opt
2016-02-16,7800,,HAG,DIY,Opt
2016-02-17,7800,,HAG,DIY,Opt
2016-02-18,7800,,HAG,DIY,Opt
2016-02-19,8300,,HAG,DIY,Opt
2016-02-22,8800,,HAG,DIY,Opt
2016-02-23,8900,,HAG,DIY,Opt
2016-02-24,9000,,HAG,DIY,Opt
2016-02-25,8700,,HAG,DIY,Opt
2016-02-26,8600,,HAG,DIY,Opt
2016-02-29,8100,,HAG,DIY,Opt
2016-03-01,8300,,HAG,DIY,Opt
2016-03-02,8300,,HAG,DIY,Opt
2016-03-03,7900,,HAG,DIY,Opt
2016-03-04,8200,,HAG,DIY,Opt
2016-03-07,8400,,HAG,DIY,Opt
2016-03-08,8200,,HAG,DIY,Opt
2016-03-09,8100,,HAG,DIY,Opt
2016-03-10,8500,,HAG,DIY,Opt
2016-03-11,8400,,HAG,DIY,Opt
2016-03-14,8400,,HAG,DIY,Opt
2016-03-15,8300,,HAG,DIY,Opt
2016-03-16,8500,,HAG,DIY,Opt
